Date,Price,Open,High,Low,Vol.,Change %
2011/8/11,221.13,235.32,236.66,189.52,1.50B,-5.53%
2021/7/11,234.09,234.21,244.35,229.01,780.90M,-0.05%
2011/6/11,234.2,242.11,242.11,224.38,1.02B,-3.43%
2011/5/11,242.53,240.99,242.76,232.33,747.10M,0.64%
2011/4/11,240.99,230.4,242.95,224.84,650.70M,4.59%
2011/3/11,230.41,234.41,234.73,219.87,913.90M,-1.70%
2011/2/11,234.4,224.87,234.46,223.5,714.10M,4.24%
2011/1/11,224.87,217.05,226.51,214.12,782.70M,3.61%
2010/12/10,217.04,208.75,218.54,206.26,741.90M,3.98%
2010/11/10,208.73,212.97,224.44,201.99,820.80M,-1.98%
2010/10/10,212.96,205.18,219.64,203.72,771.90M,3.80%
2010/9/10,205.17,197.14,213.88,197.14,794.60M,4.09%
2010/8/10,197.11,200.3,207.19,189.31,819.60M,-1.58%
2010/7/10,200.28,183,204.02,174.01,1.01B,9.44%
2010/6/10,183,193.48,203.45,178.04,1.13B,-5.42%
2010/5/10,193.49,205.39,213.06,177.75,1.25B,-5.79%
2010/4/10,205.39,193.38,213.39,192.9,897.90M,6.22%
2010/3/10,193.37,177.65,199.43,177.65,816.09M,8.85%
2010/2/10,177.64,168.84,179.27,161.73,823.08M,5.22%
2010/1/10,168.83,178.63,181.64,167.41,796.65M,-5.48%
2009/12/9,178.62,168.25,186.81,167.92,878.53M,6.17%
2009/11/9,168.24,157.4,172.62,153.45,942.97M,6.89%
2009/10/9,157.39,166.23,169.64,153.77,1.19B,-5.32%
2009/9/9,166.24,157.35,179.9,145.44,1.29B,5.64%
2009/8/9,157.37,139.87,164.42,139.87,1.22B,12.52%
2009/7/9,139.86,126.78,141.5,113.59,1.16B,10.33%
2009/6/9,126.77,130.85,139.9,119.26,1.41B,-3.11%
2009/5/9,130.84,129.02,136.26,117.23,1.84B,1.41%
2009/4/9,129.02,99.77,133.49,96.61,2.66B,29.32%
2009/3/9,99.77,96.52,108.27,80.77,2.70B,3.37%
2009/2/9,96.52,121.09,127.45,95.84,1.72B,-20.31%
2009/1/9,121.12,145.62,146.93,115.02,1.63B,-16.83%
2008/12/8,145.63,126.89,153.57,101,2.12B,14.76%
2008/11/8,126.9,165.48,169.18,90.3,1.76B,-23.31%
2008/10/8,165.47,241.83,241.83,129.37,1.67B,-31.59%
2008/9/8,241.88,245.99,262.43,220.94,1.20B,-1.65%
2008/8/8,245.95,241.84,258.94,234.22,839.43M,1.70%
