Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,"1,455.18","1,503.89","1,370.60","1,473.99","1,473.99","91,381,760,000"
2007-06-30,"1,504.66","1,555.90","1,454.25","1,455.27","1,455.27","70,337,430,000"
2007-05-31,"1,530.62","1,540.56","1,484.18","1,503.35","1,503.35","65,322,800,000"
2007-04-30,"1,482.37","1,535.56","1,476.70","1,530.62","1,530.62","64,958,050,000"
2007-03-31,"1,420.83","1,498.02","1,416.37","1,482.37","1,482.37","57,032,470,000"
2007-03-01,"1,406.80","1,438.89","1,363.98","1,420.86","1,420.86","67,622,250,000"
2007-02-01,"1,437.90","1,461.57","1,389.42","1,406.82","1,406.82","51,844,990,000"
2007-01-01,"1,418.03","1,441.61","1,403.97","1,438.24","1,438.24","56,686,200,000"
2006-12-01,"1,400.63","1,431.81","1,385.93","1,418.30","1,418.30","47,578,780,000"
2006-11-01,"1,377.76","1,407.89","1,360.98","1,400.63","1,400.63","55,343,930,000"
2006-09-30,"1,335.82","1,389.45","1,327.10","1,377.94","1,377.94","56,793,620,000"
2006-08-31,"1,303.80","1,340.28","1,290.93","1,335.85","1,335.85","49,001,440,000"
2006-07-31,"1,278.53","1,306.74","1,261.30","1,303.82","1,303.82","50,485,620,000"
2006-06-30,"1,270.06","1,280.42","1,224.54","1,276.66","1,276.66","46,348,220,000"
2006-05-31,"1,270.05","1,290.68","1,219.29","1,270.20","1,270.20","54,873,260,000"
2006-04-30,"1,310.61","1,326.70","1,245.34","1,270.09","1,270.09","54,312,830,000"
2006-04-01,"1,302.88","1,318.16","1,280.74","1,310.61","1,310.61","43,308,430,000"
2006-03-01,"1,280.66","1,310.88","1,268.42","1,294.87","1,294.87","50,905,040,000"
2006-02-01,"1,280.08","1,297.57","1,253.61","1,280.66","1,280.66","42,859,940,000"
2006-01-01,"1,248.29","1,294.90","1,245.74","1,280.08","1,280.08","49,211,650,000"
2005-12-01,"1,249.48","1,275.80","1,246.59","1,248.29","1,248.29","41,756,130,000"
2005-11-01,"1,207.01","1,270.64","1,201.07","1,249.48","1,249.48","45,102,870,000"
2005-09-30,"1,228.81","1,233.34","1,168.20","1,207.01","1,207.01","49,793,790,000"
2005-08-31,"1,220.33","1,243.13","1,205.35","1,228.81","1,228.81","44,777,510,000"
2005-07-31,"1,234.18","1,245.86","1,201.07","1,220.33","1,220.33","42,030,090,000"
2005-06-30,"1,191.33","1,245.15","1,183.55","1,234.18","1,234.18","37,464,670,000"
2005-05-31,"1,191.50","1,219.59","1,188.30","1,191.33","1,191.33","40,334,040,000"
2005-04-30,"1,156.85","1,199.56","1,146.18","1,191.50","1,191.50","39,321,990,000"
2005-04-01,"1,180.59","1,191.88","1,136.15","1,156.85","1,156.85","43,424,270,000"
2005-03-01,"1,203.60","1,229.11","1,163.69","1,180.59","1,180.59","39,014,150,000"
2005-02-01,"1,181.27","1,212.44","1,180.95","1,203.60","1,203.60","29,297,410,000"
2005-01-01,"1,211.92","1,217.80","1,163.75","1,181.27","1,181.27","31,498,800,000"
